globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd | package_name | class_name
1112 | Revision_1217/org/xbill/DNS/Lookup.java | 371 | 375 | 25 | 616 | processResponse | processResponse(Name name, SetResponse response) | 348 | 393 | org.xbill.DNS | Lookup
1113 | Revision_1217/org/xbill/DNS/Lookup.java | 383 | 387 | 25 | 616 | processResponse | processResponse(Name name, SetResponse response) | 348 | 393 | org.xbill.DNS | Lookup
1111 | Revision_1217/org/xbill/DNS/Lookup.java | 337 | 342 | 25 | 623 | follow | follow(Name name, Name oldname) | 330 | 345 | org.xbill.DNS | Lookup
1041 | Revision_1217/org/xbill/DNS/security/DSAPubKey.java | 20 | 24 | 25 | 449 | SimpleDSAParams | SimpleDSAParams(BigInteger p, BigInteger q, BigInteger g) | 20 | 24 | org.xbill.DNS.security | DSAPubKey
1146 | Revision_1217/org/xbill/DNS/Tokenizer.java | 263 | 267 | 25 | 674 | get | get(boolean wantWhitespace, boolean wantComment) throws IOException | 217 | 316 | org.xbill.DNS | Tokenizer
1117 | Revision_1217/org/xbill/DNS/Lookup.java | 156 | 165 | 26 | NULL | NULL | NULL | NULL | NULL |  | 
1118 | Revision_1217/org/xbill/DNS/Lookup.java | 295 | 304 | 26 | NULL | NULL | NULL | NULL | NULL |  | 
1116 | Revision_1217/org/xbill/DNS/Lookup.java | 192 | 196 | 27 | 608 | Lookup | Lookup(Name name, int type, int dclass) | 183 | 201 | org.xbill.DNS | Lookup
1121 | Revision_1217/org/xbill/DNS/Message.java | 518 | 522 | 27 | 630 | setTSIG | setTSIG(TSIG key, int error, TSIGRecord querytsig) | 518 | 522 | org.xbill.DNS | Message
1069 | Revision_1217/org/xbill/DNS/TSIG.java | 45 | 49 | 27 | NULL | NULL | NULL | NULL | NULL |  | 
1097 | Revision_1217/org/xbill/DNS/SetResponse.java | 68 | 73 | 27 | 386 | SetResponse | SetResponse(int type, RRset rrset) | 68 | 73 | org.xbill.DNS | SetResponse
1068 | Revision_1217/org/xbill/DNS/security/SIG0Signer.java | 44 | 49 | 27 | 515 | SIG0Signer | SIG0Signer(int algorithm, PrivateKey privateKey, Name name, int keyFootprint) | 44 | 49 | org.xbill.DNS.security | SIG0Signer
1030 | Revision_1217/org/xbill/DNS/ResolveThread.java | 23 | 28 | 27 | NULL | NULL | NULL | NULL | NULL |  | 
1021 | Revision_1217/org/xbill/DNS/SetResponse.java | 75 | 80 | 27 | 386 | SetResponse | SetResponse(int type) | 75 | 80 | org.xbill.DNS | SetResponse
1119 | Revision_1217/org/xbill/DNS/Lookup.java | 422 | 428 | 28 | 305 | lookup | lookup(Name current) | 396 | 446 | org.xbill.DNS | Lookup
