gcid,filePath,folder,all_files,num_files,total_changes,first_revision,last_revision
316,dnsResolver.java,,dnsResolver.java,1,5,14,41
317,Resolver.java,,Resolver.java,1,8,14,144
318,SimpleResolver.java,,SimpleResolver.java,1,12,14,281
319,hmacSigner.java,,hmacSigner.java,1,1,41,41
320,hmacSigner.java,,hmacSigner.java,1,1,41,41
321,hmacSigner.java,,hmacSigner.java,1,1,41,41
322,hmacSigner.java,,hmacSigner.java,1,2,41,392
323,TSIG.java,,TSIG.java,1,1,18,18
324,dnsTSIG.java,,dnsTSIG.java,1,1,18,18
325,TSIG.java,,TSIG.java,1,1,18,18
326,dnsTSIG.java,,dnsTSIG.java,1,1,18,18
335,dnsTSIG.java,,dnsTSIG.java,1,6,18,48
336,TSIG.java,,TSIG.java,1,10,18,281
337,dnsTSIG.java,,dnsTSIG.java,1,6,18,48
338,TSIG.java,,TSIG.java,1,10,18,281
339,dig.java,,dig.java,1,1,28,28
340,update.java,,update.java,1,2,28,30
341,dnsHeader.java,,dnsHeader.java,1,3,20,48
342,Header.java,,Header.java,1,10,20,1370
343,Message.java,,Message.java,1,9,20,206
344,Header.java,,Header.java,1,6,20,269
345,dnsMessage.java,,dnsMessage.java,1,4,20,48
346,dnsHeader.java,,dnsHeader.java,1,3,20,48
347,dnsMessage.java,,dnsMessage.java,1,4,20,48
348,Message.java,,Message.java,1,11,20,551
349,dnsTSIG.java,,dnsTSIG.java,1,4,20,48
350,TSIG.java,,TSIG.java,1,8,20,128
351,dnsTSIG.java,,dnsTSIG.java,1,4,20,48
352,TSIG.java,,TSIG.java,1,8,20,128
353,dnsTSIGRecord.java,,dnsTSIGRecord.java,1,2,20,26
354,TSIGRecord.java,,TSIGRecord.java,1,2,20,26
355,dnsTSIGRecord.java,,dnsTSIGRecord.java,1,2,20,26
356,TSIGRecord.java,,TSIGRecord.java,1,2,20,26
357,hmacSigner.java,,hmacSigner.java,1,2,20,23
358,hmacSigner.java,,hmacSigner.java,1,2,20,23
359,hmacSigner.java,,hmacSigner.java,1,2,20,23
360,hmacSigner.java,,hmacSigner.java,1,2,20,23
361,hmacSigner.java,,hmacSigner.java,1,1,233,233
362,hmacSigner.java,,hmacSigner.java,1,1,233,233
365,dnsTSIG.java,,dnsTSIG.java,1,3,23,48
366,TSIG.java,,TSIG.java,1,7,23,128
367,dnsTSIG.java,,dnsTSIG.java,1,3,23,48
368,TSIG.java,,TSIG.java,1,7,23,128
369,dnsTSIG.java,,dnsTSIG.java,1,1,26,26
370,dnsTSIG.java,,dnsTSIG.java,1,1,26,26
371,TSIG.java,,TSIG.java,1,1,26,26
372,TSIG.java,,TSIG.java,1,1,26,26
373,dnsTSIG.java,,dnsTSIG.java,1,3,30,48
374,dnsTSIG.java,,dnsTSIG.java,1,4,26,48
375,TSIG.java,,TSIG.java,1,18,30,1380
376,TSIG.java,,TSIG.java,1,14,26,1380
377,dnsTSIG.java,,dnsTSIG.java,1,3,30,48
378,dnsTSIG.java,,dnsTSIG.java,1,4,26,48
379,TSIG.java,,TSIG.java,1,6,30,272
380,TSIG.java,,TSIG.java,1,16,26,988
381,dnsTSIGRecord.java,,dnsTSIGRecord.java,1,2,27,41
382,TSIGRecord.java,,TSIGRecord.java,1,6,27,267
383,TSIGRecord.java,,TSIGRecord.java,1,6,27,267
384,dnsTSIGRecord.java,,dnsTSIGRecord.java,1,2,27,41
385,base64.java,,base64.java,1,2,41,90
386,base64.java,,base64.java,1,2,41,90
387,base64.java,,base64.java,1,1,41,41
388,base64.java,,base64.java,1,1,41,41
389,md5.java,,md5.java,1,1,232,232
390,md5.java,,md5.java,1,1,232,232
