cloneType,granularity,gcid1,gcid2,no_of_revision_paired,couplingStrength,latePropagationCount,dominantChangeCategory,made_pair_in_revisions,gcid1_changed_revs,gcid2_changed_revs
"Type3","Block",477,564,1,0.0476,0,"SIMILARITY_PRESERVING","[247]","[128, 247, 278, 308, 341, 379, 561, 576, 662, 678, 679, 756, 866, 996, 1056, 1210, 1211, 1216, 1318, 1417, 1458]","[247]"
"Type3","Block",477,569,1,0.0455,1,"SIMILARITY_PRESERVING","[247]","[128, 247, 278, 308, 341, 379, 561, 576, 662, 678, 679, 756, 866, 996, 1056, 1210, 1211, 1216, 1318, 1417, 1458]","[247, 1208]"
"Type3","Block",478,481,2,1.0000,0,"SIMILARITY_PRESERVING","[41, 45]","[41, 45]","[41, 45]"
"Type3","Block",478,482,2,0.2857,0,"SIMILARITY_PRESERVING","[41, 45]","[41, 45]","[41, 45, 94, 247, 756, 1208, 1470]"
"Type3","Block",479,564,1,0.0588,0,"SIMILARITY_PRESERVING","[247]","[128, 247, 278, 308, 341, 561, 576, 678, 679, 756, 866, 996, 1056, 1210, 1211, 1318, 1458]","[247]"
"Type3","Block",479,569,1,0.0556,1,"SIMILARITY_PRESERVING","[247]","[128, 247, 278, 308, 341, 561, 576, 678, 679, 756, 866, 996, 1056, 1210, 1211, 1318, 1458]","[247, 1208]"
"Type3","Block",481,482,2,0.2857,0,"SIMILARITY_PRESERVING","[41, 45]","[41, 45]","[41, 45, 94, 247, 756, 1208, 1470]"
"Type3","Block",482,564,1,0.1429,0,"SIMILARITY_PRESERVING","[247]","[41, 45, 94, 247, 756, 1208, 1470]","[247]"
"Type3","Block",482,569,2,0.2857,0,"SIMILARITY_PRESERVING","[247, 1208]","[41, 45, 94, 247, 756, 1208, 1470]","[247, 1208]"
"Type3","Block",564,569,1,0.5000,0,"SIMILARITY_PRESERVING","[247]","[247]","[247, 1208]"
"Type3","Block",15,16,1,1.0000,0,"SIMILARITY_PRESERVING","[28]","[28]","[28]"
"Type3","Block",15,17,1,1.0000,0,"SIMILARITY_PRESERVING","[28]","[28]","[28]"
"Type3","Block",15,18,1,1.0000,0,"SIMILARITY_PRESERVING","[28]","[28]","[28]"
"Type3","Block",16,17,1,1.0000,0,"SIMILARITY_PRESERVING","[28]","[28]","[28]"
"Type3","Block",16,18,1,1.0000,0,"SIMILARITY_PRESERVING","[28]","[28]","[28]"
"Type3","Block",17,18,1,1.0000,0,"SIMILARITY_PRESERVING","[28]","[28]","[28]"
"Type3","Block",676,677,1,1.0000,0,"SIMILARITY_PRESERVING","[232]","[232]","[232]"
"Type3","Block",827,828,5,1.0000,0,"SIMILARITY_PRESERVING","[159, 170, 174, 285, 290]","[159, 170, 174, 285, 290]","[159, 170, 174, 285, 290]"
"Type3","Block",19,20,1,1.0000,0,"SIMILARITY_PRESERVING","[48]","[48]","[48]"
"Type3","Block",19,21,1,1.0000,0,"SIMILARITY_PRESERVING","[48]","[48]","[48]"
"Type3","Block",19,22,1,1.0000,0,"SIMILARITY_PRESERVING","[48]","[48]","[48]"
"Type3","Block",20,21,1,1.0000,0,"SIMILARITY_PRESERVING","[48]","[48]","[48]"
"Type3","Block",20,22,1,1.0000,0,"SIMILARITY_PRESERVING","[48]","[48]","[48]"
"Type3","Block",21,22,1,1.0000,0,"SIMILARITY_PRESERVING","[48]","[48]","[48]"
"Type3","Block",841,842,5,0.4545,1,"SIMILARITY_PRESERVING","[159, 170, 174, 285, 290]","[159, 170, 174, 285, 290, 380, 515, 843, 844, 1408]","[159, 170, 174, 285, 290, 838]"
"Type3","Block",385,386,2,1.0000,0,"SIMILARITY_PRESERVING","[41, 90]","[41, 90]","[41, 90]"
"Type3","Block",385,387,1,0.5000,0,"SIMILARITY_PRESERVING","[41]","[41, 90]","[41]"
"Type3","Block",385,388,1,0.5000,0,"SIMILARITY_PRESERVING","[41]","[41, 90]","[41]"
"Type3","Block",386,387,1,0.5000,0,"SIMILARITY_PRESERVING","[41]","[41, 90]","[41]"
"Type3","Block",386,388,1,0.5000,0,"SIMILARITY_PRESERVING","[41]","[41, 90]","[41]"
"Type3","Block",387,388,1,1.0000,0,"SIMILARITY_PRESERVING","[41]","[41]","[41]"
