globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd | package_name | class_name
1218 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITOutputReader.java | 243 | 248 | 92 | 431 | read | public ChemFile read() throws IOException | 120 | 283 | org.openscience.jmol.io | ABINITOutputReader
1214 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITOutputReader.java | 379 | 384 | 92 | 1254 | readFrames | private void readFrames(String frameSep) throws IOException | 358 | 418 | org.openscience.jmol.io | ABINITOutputReader
1219 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITInputReader.java | 170 | 178 | 92 | 431 | read | public ChemFile read() throws IOException | 89 | 259 | org.openscience.jmol.io | ABINITInputReader
1216 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITInputReader.java | 187 | 195 | 92 | 431 | read | public ChemFile read() throws IOException | 89 | 259 | org.openscience.jmol.io | ABINITInputReader
1217 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITInputReader.java | 178 | 187 | 92 | 431 | read | public ChemFile read() throws IOException | 89 | 259 | org.openscience.jmol.io | ABINITInputReader
1220 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITOutputReader.java | 386 | 396 | 92 | 1254 | readFrames | private void readFrames(String frameSep) throws IOException | 358 | 418 | org.openscience.jmol.io | ABINITOutputReader
1221 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITInputReader.java | 160 | 165 | 93 | 431 | read | public ChemFile read() throws IOException | 89 | 259 | org.openscience.jmol.io | ABINITInputReader
1221 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITInputReader.java | 165 | 170 | 93 | 431 | read | public ChemFile read() throws IOException | 89 | 259 | org.openscience.jmol.io | ABINITInputReader
1222 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITOutputReader.java | 235 | 240 | 93 | 431 | read | public ChemFile read() throws IOException | 120 | 283 | org.openscience.jmol.io | ABINITOutputReader
1224 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITInputReader.java | 220 | 227 | 94 | 431 | read | public ChemFile read() throws IOException | 89 | 259 | org.openscience.jmol.io | ABINITInputReader
1225 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITInputReader.java | 227 | 235 | 94 | 431 | read | public ChemFile read() throws IOException | 89 | 259 | org.openscience.jmol.io | ABINITInputReader
1228 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITInputReader.java | 274 | 280 | 95 | 1242 | nextAbinitInputToken | public void nextAbinitInputToken(boolean newLine) throws IOException | 270 | 307 | org.openscience.jmol.io | ABINITInputReader
1106 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITReader.java | 158 | 163 | 95 | 1145 | nextAbinitToken | public String nextAbinitToken(boolean newLine) throws IOException | 154 | 178 | org.openscience.jmol.io | ABINITReader
