n,n_pos,n_neg,mcc,auc_roc,pr_auc,balanced_acc,f1,TP,TN,FP,FN,sensitivity,specificity,gmean,model,verification_revision,threshold,train_size
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,670,0.345,349
2,1,1,0.0,1.0,1.0,0.5,0.0,0,1,0,1,0.0,1.0,0.0,RandomForest,672,0.541,350
2,1,1,1.0,1.0,1.0,1.0,1.0,1,1,0,0,1.0,1.0,1.0,LightGBM,672,0.214,350
2,1,1,0.0,1.0,1.0,0.5,0.0,0,1,0,1,0.0,1.0,0.0,XGBoost,672,0.476,350
2,1,1,0.0,1.0,1.0,0.5,0.0,0,1,0,1,0.0,1.0,0.0,CatBoost,672,0.835,350
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,673,0.541,352
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,673,0.214,352
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,673,0.476,352
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,673,0.835,352
3,0,3,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,675,0.541,353
3,0,3,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,675,0.214,353
3,0,3,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,675,0.476,353
3,0,3,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,675,0.835,353
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,676,0.541,356
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,676,0.214,356
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,676,0.476,356
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,676,0.835,356
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,680,0.541,357
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,680,0.214,357
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,680,0.476,357
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,680,0.835,357
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,691,0.541,358
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,691,0.214,358
