n,n_pos,n_neg,mcc,auc_roc,pr_auc,balanced_acc,f1,gmean,model,Revision,threshold,train_size
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,310,0.688,498
255,0,255,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,315,0.296,500
255,0,255,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,315,0.116,500
255,0,255,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,315,0.182,500
255,0,255,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,315,0.149,500
11,1,10,0.0,1.0,1.0,0.5,0.0,0.0,RandomForest,319,0.5,755
11,1,10,0.0,1.0,1.0,0.5,0.0,0.0,LightGBM,319,0.5,755
11,1,10,0.0,1.0,1.0,0.5,0.0,0.0,XGBoost,319,0.5,755
11,1,10,0.0,1.0,1.0,0.5,0.0,0.0,CatBoost,319,0.5,755
23,1,22,-0.045454545454545456,0.9090909090909091,0.3333333333333333,0.4772727272727273,0.0,0.0,RandomForest,321,0.231,766
23,1,22,0.0,1.0,1.0,0.5,0.0,0.0,LightGBM,321,0.9,766
23,1,22,0.0,0.9545454545454546,0.5,0.5,0.0,0.0,XGBoost,321,0.214,766
23,1,22,0.0,0.9090909090909091,0.3333333333333333,0.5,0.0,0.0,CatBoost,321,0.884,766
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,323,0.165,789
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,323,0.9,789
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,323,0.165,789
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,323,0.884,789
31,1,30,-0.18856180831641267,0.30000000000000004,0.045454545454545456,0.23333333333333334,0.0,0.0,RandomForest,324,0.165,791
31,1,30,-0.07027283689263066,0.4,0.05263157894736842,0.43333333333333335,0.0,0.0,LightGBM,324,0.329,791
31,1,30,-0.1551582227085438,0.5,0.0625,0.2833333333333333,0.0,0.0,XGBoost,324,0.165,791
31,1,30,-0.135400640077266,0.43333333333333335,0.05555555555555555,0.31666666666666665,0.0,0.0,CatBoost,324,0.165,791
2,1,1,0.0,1.0,1.0,0.5,0.0,0.0,RandomForest,325,0.133,822
2,1,1,0.0,1.0,1.0,0.5,0.0,0.0,LightGBM,325,0.329,822
2,1,1,0.0,1.0,1.0,0.5,0.0,0.0,XGBoost,325,0.1,822
2,1,1,0.0,1.0,1.0,0.5,0.0,0.0,CatBoost,325,0.165,822
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,328,0.133,824
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,328,0.329,824
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,328,0.1,824
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,328,0.165,824
24,2,22,0.13819749820569552,0.8409090909090909,0.6111111111111112,0.6136363636363636,0.2222222222222222,0.6030226891555273,RandomForest,330,0.133,826
24,2,22,0.0,0.9772727272727273,0.8333333333333333,0.5,0.0,0.0,LightGBM,330,0.329,826
24,2,22,-0.06286946134619315,0.6136363636363635,0.14583333333333331,0.4772727272727273,0.0,0.0,XGBoost,330,0.1,826
24,2,22,-0.09090909090909091,0.8409090909090908,0.30952380952380953,0.45454545454545453,0.0,0.0,CatBoost,330,0.165,826
8,0,8,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,332,0.133,850
8,0,8,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,332,0.329,850
8,0,8,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,332,0.1,850
8,0,8,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,332,0.1,850
20,2,18,0.5091750772173156,1.0,1.0,0.8888888888888888,0.5,0.8819171036881969,RandomForest,333,0.133,858
20,2,18,0.6882472016116853,1.0,1.0,0.75,0.6666666666666666,0.7071067811865476,LightGBM,333,0.329,858
20,2,18,0.7934920476158722,0.9722222222222222,0.8333333333333333,0.9722222222222222,0.8,0.97182531580755,XGBoost,333,0.1,858
20,2,18,0.6666666666666666,1.0,1.0,0.9444444444444444,0.6666666666666666,0.9428090415820634,CatBoost,333,0.1,858
15,3,12,-0.1336306209562122,0.4444444444444444,0.23809523809523808,0.41666666666666663,0.2,0.408248290463863,RandomForest,334,0.133,878
15,3,12,0.0,0.41666666666666663,0.21296296296296297,0.5,0.0,0.0,LightGBM,334,0.116,878
15,3,12,-0.1336306209562122,0.4722222222222222,0.23333333333333334,0.4583333333333333,0.0,0.0,XGBoost,334,0.1,878
15,3,12,0.0,0.5555555555555556,0.5,0.5,0.0,0.0,CatBoost,334,0.312,878
11,3,8,0.28867513459481287,0.75,0.6333333333333333,0.625,0.5,0.5,RandomForest,335,0.116,893
11,3,8,-0.03857583749052298,0.625,0.5694444444444444,0.47916666666666663,0.2857142857142857,0.4564354645876384,LightGBM,335,0.1,893
11,3,8,0.14907119849998599,0.6666666666666666,0.5873015873015872,0.5833333333333333,0.4444444444444444,0.5773502691896257,XGBoost,335,0.1,893
11,3,8,0.14907119849998599,0.7916666666666667,0.6984126984126984,0.5833333333333333,0.4444444444444444,0.5773502691896257,CatBoost,335,0.1,893
44,3,41,0.5637636538163321,1.0,1.0,0.6666666666666666,0.5,0.5773502691896257,RandomForest,338,0.802,904
44,3,41,0.6422764227642277,0.9756097560975611,0.8333333333333333,0.8211382113821137,0.6666666666666666,0.8064778385455118,LightGBM,338,0.116,904
44,3,41,0.8553989227683015,0.991869918699187,0.9166666666666666,0.9878048780487805,0.8571428571428571,0.9877295966495896,XGBoost,338,0.1,904
44,3,41,0.6422764227642277,0.975609756097561,0.8333333333333333,0.8211382113821137,0.6666666666666666,0.8064778385455118,CatBoost,338,0.263,904
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,341,0.378,948
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,341,0.312,948
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,341,0.867,948
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,341,0.884,948
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,342,0.378,949
