revision,gcid1,gcid2,classId,sameFile,same_folder,file_distance,distance_bucket,dep_label,depth,similarity,filepath1,filepath2,folder1,folder2
190,87,88,38,1,1,0,0 (same dir),1,0,71,readtags.c,readtags.c,,
190,87,116,38,0,1,1,1,0,1,71,readtags.c,,,
190,87,117,38,0,1,1,1,0,1,71,readtags.c,,,
190,88,116,38,0,1,1,1,0,1,71,readtags.c,,,
190,88,117,38,0,1,1,1,0,1,71,readtags.c,,,
190,150,151,107,1,1,0,0 (same dir),1,0,100,readtags.c,readtags.c,,
190,134,135,108,1,1,0,0 (same dir),1,0,75,readtags.c,readtags.c,,
190,136,139,109,1,1,0,0 (same dir),1,0,83,readtags.c,readtags.c,,
190,152,153,110,1,1,0,0 (same dir),1,0,80,readtags.c,readtags.c,,
190,152,187,110,1,1,0,0 (same dir),1,0,80,readtags.c,readtags.c,,
190,153,187,110,1,1,0,0 (same dir),1,0,80,readtags.c,readtags.c,,
197,10,174,1,0,1,1,1,0,1,70,,asm.c,,
197,11,174,1,0,1,1,1,0,1,70,,asm.c,,
197,13,174,1,0,1,1,1,0,1,70,,asm.c,,
197,15,174,1,0,1,1,1,0,1,70,,asm.c,,
197,16,174,1,0,1,1,1,0,1,70,,asm.c,,
197,17,174,1,0,1,1,1,0,1,70,,asm.c,,
197,20,174,1,0,1,1,1,0,1,70,,asm.c,,
197,22,174,1,0,1,1,1,0,1,70,,asm.c,,
197,24,174,1,0,1,1,1,0,1,70,,asm.c,,
197,25,174,1,0,1,1,1,0,1,70,,asm.c,,
197,26,174,1,0,1,1,1,0,1,70,,asm.c,,
197,27,174,1,0,1,1,1,0,1,70,,asm.c,,
197,28,174,1,0,1,1,1,0,1,70,,asm.c,,
197,29,174,1,0,1,1,1,0,1,70,,asm.c,,
197,30,174,1,0,1,1,1,0,1,70,,asm.c,,
197,154,174,1,0,1,1,1,0,1,70,,asm.c,,
197,174,184,1,0,1,1,1,0,1,70,asm.c,,,
197,21,179,7,0,1,1,1,0,1,70,,asm.c,,
197,23,179,7,0,1,1,1,0,1,71,,asm.c,,
200,188,189,5,0,1,1,1,0,1,71,asm.c,,,
200,170,190,6,0,1,1,1,0,1,71,asm.c,,,
200,21,179,7,0,1,1,1,0,1,70,,asm.c,,
200,21,191,7,0,1,1,1,0,1,70,,asm.c,,
200,23,179,7,0,1,1,1,0,1,71,,asm.c,,
200,23,191,7,0,1,1,1,0,1,71,,asm.c,,
200,179,191,7,1,1,0,0 (same dir),1,0,77,asm.c,asm.c,,
201,192,193,129,1,1,0,0 (same dir),0,0,100,,vim.c,,
209,128,129,97,0,1,1,1,0,1,75,,perl.c,,
212,31,37,9,0,1,1,1,0,1,100,,tcl.c,,
212,32,37,9,0,1,1,1,0,1,100,,tcl.c,,
212,35,37,9,0,1,1,1,0,1,72,,tcl.c,,
212,37,176,9,0,1,1,1,0,1,72,tcl.c,,,
213,52,195,17,0,1,1,1,0,1,75,,tcl.c,,
213,54,195,17,0,1,1,1,0,1,75,,tcl.c,,
213,55,195,17,0,1,1,1,0,1,75,,tcl.c,,
213,57,195,17,0,1,1,1,0,1,75,,tcl.c,,
213,194,195,17,0,1,1,1,0,1,75,,tcl.c,,
218,77,79,49,1,1,0,0 (same dir),1,0,87,get.c,get.c,,
218,80,81,50,0,1,1,1,0,1,80,get.c,,,
221,10,13,1,0,1,1,1,0,1,70,,pascal.c,,
221,11,13,1,0,1,1,1,0,1,70,,pascal.c,,
221,13,15,1,0,1,1,1,0,1,70,pascal.c,,,
221,13,16,1,0,1,1,1,0,1,70,pascal.c,,,
221,13,17,1,0,1,1,1,0,1,70,pascal.c,,,
221,13,20,1,0,1,1,1,0,1,70,pascal.c,,,
221,13,22,1,0,1,1,1,0,1,70,pascal.c,,,
221,13,24,1,0,1,1,1,0,1,70,pascal.c,,,
221,13,25,1,0,1,1,1,0,1,70,pascal.c,,,
221,13,26,1,0,1,1,1,0,1,70,pascal.c,,,
221,13,27,1,0,1,1,1,0,1,70,pascal.c,,,
221,13,28,1,0,1,1,1,0,1,70,pascal.c,,,
221,13,29,1,0,1,1,1,0,1,70,pascal.c,,,
221,13,30,1,0,1,1,1,0,1,70,pascal.c,,,
221,13,154,1,0,1,1,1,0,1,70,pascal.c,,,
221,13,174,1,0,1,1,1,0,1,70,pascal.c,,,
221,13,184,1,0,1,1,1,0,1,70,pascal.c,,,
221,13,197,1,0,1,1,1,0,1,70,pascal.c,,,
226,10,27,1,0,1,1,1,0,1,70,,slang.c,,
226,11,27,1,0,1,1,1,0,1,70,,slang.c,,
226,13,27,1,0,1,1,1,0,1,70,,slang.c,,
226,15,27,1,0,1,1,1,0,1,70,,slang.c,,
226,16,27,1,0,1,1,1,0,1,70,,slang.c,,
226,17,27,1,0,1,1,1,0,1,70,,slang.c,,
226,20,27,1,0,1,1,1,0,1,70,,slang.c,,
226,22,27,1,0,1,1,1,0,1,70,,slang.c,,
226,24,27,1,0,1,1,1,0,1,70,,slang.c,,
226,25,27,1,0,1,1,1,0,1,70,,slang.c,,
226,26,27,1,0,1,1,1,0,1,70,,slang.c,,
226,27,28,1,0,1,1,1,0,1,70,slang.c,,,
226,27,29,1,0,1,1,1,0,1,70,slang.c,,,
226,27,30,1,0,1,1,1,0,1,70,slang.c,,,
226,27,154,1,0,1,1,1,0,1,70,slang.c,,,
226,27,174,1,0,1,1,1,0,1,70,slang.c,,,
226,27,184,1,0,1,1,1,0,1,70,slang.c,,,
226,27,197,1,0,1,1,1,0,1,70,slang.c,,,
227,10,213,1,0,1,1,1,0,1,70,,cobol.c,,
227,11,213,1,0,1,1,1,0,1,70,,cobol.c,,
227,13,213,1,0,1,1,1,0,1,70,,cobol.c,,
227,15,213,1,0,1,1,1,0,1,70,,cobol.c,,
227,16,213,1,0,1,1,1,0,1,70,,cobol.c,,
227,17,213,1,0,1,1,1,0,1,70,,cobol.c,,
227,20,213,1,0,1,1,1,0,1,70,,cobol.c,,
227,22,213,1,0,1,1,1,0,1,70,,cobol.c,,
227,24,213,1,0,1,1,1,0,1,70,,cobol.c,,
227,25,213,1,0,1,1,1,0,1,70,,cobol.c,,
227,26,213,1,0,1,1,1,0,1,70,,cobol.c,,
227,27,213,1,0,1,1,1,0,1,70,,cobol.c,,
227,28,213,1,0,1,1,1,0,1,70,,cobol.c,,
227,29,213,1,0,1,1,1,0,1,70,,cobol.c,,
227,30,213,1,0,1,1,1,0,1,70,,cobol.c,,
227,154,213,1,0,1,1,1,0,1,70,,cobol.c,,
227,174,213,1,0,1,1,1,0,1,70,,cobol.c,,
227,184,213,1,0,1,1,1,0,1,70,,cobol.c,,
227,197,213,1,0,1,1,1,0,1,70,,cobol.c,,
260,52,54,17,1,1,0,0 (same dir),0,0,75,,fortran.c,,
260,52,55,17,1,1,0,0 (same dir),0,0,75,,fortran.c,,
260,52,57,17,1,1,0,0 (same dir),0,0,75,,fortran.c,,
260,54,55,17,1,1,0,0 (same dir),1,0,75,fortran.c,fortran.c,,
260,54,57,17,1,1,0,0 (same dir),1,0,75,fortran.c,fortran.c,,
260,54,194,17,0,1,1,1,0,1,75,fortran.c,,,
260,54,195,17,0,1,1,1,0,1,75,fortran.c,,,
260,55,57,17,1,1,0,0 (same dir),1,0,75,fortran.c,fortran.c,,
260,55,194,17,0,1,1,1,0,1,75,fortran.c,,,
260,55,195,17,0,1,1,1,0,1,75,fortran.c,,,
260,57,194,17,0,1,1,1,0,1,75,fortran.c,,,
260,57,195,17,0,1,1,1,0,1,75,fortran.c,,,
260,53,227,24,1,1,0,0 (same dir),1,0,71,fortran.c,fortran.c,,
260,225,226,25,1,1,0,0 (same dir),1,0,83,fortran.c,fortran.c,,
260,210,211,27,0,1,1,1,0,1,71,fortran.c,,,
260,72,73,29,1,1,0,0 (same dir),1,0,75,fortran.c,fortran.c,,
262,228,229,35,0,1,1,1,0,1,70,php.c,,,
265,19,235,18,0,1,1,1,0,1,71,,erlang.c,,
265,19,237,18,0,1,1,1,0,1,71,,erlang.c,,
265,19,239,18,0,1,1,1,0,1,71,,erlang.c,,
265,59,235,18,0,1,1,1,0,1,75,,erlang.c,,
265,59,237,18,0,1,1,1,0,1,75,,erlang.c,,
265,59,239,18,0,1,1,1,0,1,75,,erlang.c,,
265,60,235,18,0,1,1,1,0,1,75,,erlang.c,,
265,60,237,18,0,1,1,1,0,1,75,,erlang.c,,
265,60,239,18,0,1,1,1,0,1,75,,erlang.c,,
265,235,237,18,1,1,0,0 (same dir),1,0,71,erlang.c,erlang.c,,
265,235,239,18,1,1,0,0 (same dir),1,0,71,erlang.c,erlang.c,,
265,237,239,18,1,1,0,0 (same dir),1,0,71,erlang.c,erlang.c,,
267,6,8,4,0,1,1,1,0,1,83,,fortran.c,,
267,7,8,4,0,1,1,1,0,1,83,,fortran.c,,
267,52,54,17,1,1,0,0 (same dir),1,0,75,fortran.c,fortran.c,,
267,52,55,17,1,1,0,0 (same dir),1,0,75,fortran.c,fortran.c,,
