cloneType,granularity,gcid1,gcid2,no_of_revision_paired,couplingStrength,latePropagationCount,dominantChangeCategory,made_pair_in_revisions,gcid1_changed_revs,gcid2_changed_revs
"Type3","Block",86,90,4,0.5714,1,"SIMILARITY_PRESERVING","[302, 315, 324, 731]","[136, 302, 315, 324, 498, 731]","[302, 315, 324, 496, 731]"
"Type3","Block",86,692,1,0.1667,0,"SIMILARITY_PRESERVING","[136]","[136, 302, 315, 324, 498, 731]","[136]"
"Type3","Block",86,807,5,0.8333,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 731]","[136, 302, 315, 324, 498, 731]","[302, 315, 324, 498, 731]"
"Type3","Block",87,88,4,0.5714,0,"SIMILARITY_PRESERVING","[302, 315, 498, 731]","[81, 302, 315, 335, 498, 731]","[302, 315, 324, 498, 731]"
"Type3","Block",87,89,3,0.4286,0,"SIMILARITY_PRESERVING","[302, 315, 731]","[81, 302, 315, 335, 498, 731]","[302, 315, 324, 731]"
"Type3","Block",87,90,2,0.3750,1,"SIMILARITY_PRESERVING","[302, 315]","[81, 302, 315, 335, 498, 731]","[302, 315, 324, 496, 731]"
"Type3","Block",87,807,4,0.5714,0,"SIMILARITY_PRESERVING","[302, 315, 498, 731]","[81, 302, 315, 335, 498, 731]","[302, 315, 324, 498, 731]"
"Type3","Block",88,89,4,0.8000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 731]","[302, 315, 324, 498, 731]","[302, 315, 324, 731]"
"Type3","Block",88,90,4,0.6667,1,"SIMILARITY_PRESERVING","[302, 315, 324, 731]","[302, 315, 324, 498, 731]","[302, 315, 324, 496, 731]"
"Type3","Block",88,807,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 731]","[302, 315, 324, 498, 731]","[302, 315, 324, 498, 731]"
"Type3","Block",89,90,4,0.8000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 731]","[302, 315, 324, 731]","[302, 315, 324, 496, 731]"
"Type3","Block",89,807,4,0.8000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 731]","[302, 315, 324, 731]","[302, 315, 324, 498, 731]"
"Type3","Block",90,807,4,0.6667,1,"SIMILARITY_PRESERVING","[302, 315, 324, 731]","[302, 315, 324, 496, 731]","[302, 315, 324, 498, 731]"
"Type3","Block",3037,3042,1,0.3333,0,"SIMILARITY_PRESERVING","[2661]","[2570, 2572, 2661]","[2661]"
"Type3","Block",91,92,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]"
"Type3","Block",91,93,5,0.8333,1,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]","[302, 315, 324, 496, 498, 990]"
"Type3","Block",91,94,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]"
"Type3","Block",91,95,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]"
"Type3","Block",92,93,5,0.8333,1,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]","[302, 315, 324, 496, 498, 990]"
"Type3","Block",92,94,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]"
"Type3","Block",92,95,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]"
"Type3","Block",93,94,5,0.8333,1,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 990]","[302, 315, 324, 496, 498, 990]","[302, 315, 324, 498, 990]"
"Type3","Block",93,95,5,0.8333,1,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 990]","[302, 315, 324, 496, 498, 990]","[302, 315, 324, 498, 990]"
"Type3","Block",94,95,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]"
"Type3","Block",699,701,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
