revision,gcid1,gcid2,classId,similarity,classSize,sim_bucket,class_bucket,sameFile,depth,dep_label
1181,750,1108,20,72,15,71-80,11-20,0,4,0
1181,750,1181,20,72,15,71-80,11-20,0,4,0
1183,1021,1030,9,71,19,71-80,11-20,0,1,0
1183,1021,1068,9,71,19,71-80,11-20,0,1,0
1183,1021,1069,9,71,19,71-80,11-20,0,1,0
1183,1021,1097,9,71,19,71-80,11-20,1,0,1
1183,1021,1121,9,71,19,71-80,11-20,0,1,0
1183,1021,1165,9,71,19,71-80,11-20,0,1,0
1183,1021,1166,9,71,19,71-80,11-20,0,1,0
1183,1030,1097,9,71,19,71-80,11-20,0,1,0
1183,1068,1097,9,71,19,71-80,11-20,0,1,0
1183,1069,1097,9,71,19,71-80,11-20,0,1,0
1183,1097,1121,9,71,19,71-80,11-20,0,1,0
1183,1097,1165,9,71,19,71-80,11-20,0,1,0
1183,1097,1166,9,71,19,71-80,11-20,0,1,0
1185,778,1102,42,75,23,71-80,21+,0,1,0
1185,778,1167,42,75,23,71-80,21+,0,1,0
1185,818,1194,55,85,12,81-90,11-20,0,2,0
1185,818,1195,55,85,12,81-90,11-20,0,2,0
1185,820,1194,55,85,12,81-90,11-20,0,2,0
1185,820,1195,55,85,12,81-90,11-20,0,2,0
1185,1194,1195,55,100,12,96-100,11-20,1,0,1
1195,1163,1164,52,80,17,71-80,11-20,1,0,1
1208,494,1034,6,75,16,71-80,11-20,0,4,0
1208,494,1092,6,75,16,71-80,11-20,0,4,0
1208,1034,1092,6,75,16,71-80,11-20,0,1,1
1208,1034,1160,6,75,16,71-80,11-20,0,1,0
1208,1034,1161,6,75,16,71-80,11-20,0,1,0
1208,1092,1160,6,100,16,96-100,11-20,0,1,0
1208,1092,1161,6,100,16,96-100,11-20,1,0,0
1208,124,482,7,75,27,71-80,21+,0,1,0
1208,482,568,7,75,27,71-80,21+,0,1,0
1208,482,1048,7,75,27,71-80,21+,0,1,0
1208,482,1060,7,75,27,71-80,21+,0,1,0
1208,580,1096,13,70,10,<=70,6-10,0,1,0
1208,580,1176,13,70,10,<=70,6-10,0,1,0
1208,455,468,21,70,19,<=70,11-20,1,4,0
