pairId,cloneType,granularity,classId,clone1_gcid,clone2_gcid,clone1_addedRev,clone2_addedRev,clone1_deletedRev,clone2_deletedRev,clone1_lifespan,clone2_lifespan,co_change,gcid1_independent_change,gcid2_independent_change,similarity,filepath1,filepath2,file_distance,gcid1_authors,gcid2_authors,weighted_coupling_strength,coupling_trend,last_co_change_age,last_solo_change_age,method_name1,method_signature1,method_name2,method_signature2
17971,Type3,Block,120,1618,1623,1447,1447,Still Active,Still Active,53,53,0,0,0,100,NameTest.java,NameTest.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,test_subdomain_abs,public void test_subdomain_abs() throws TextParseException,test_rel,public void test_rel() throws TextParseException
17972,Type3,Block,120,1618,1624,1447,1447,Still Active,1449,53,2,0,0,0,100,NameTest.java,NameTest.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,test_subdomain_abs,public void test_subdomain_abs() throws TextParseException,test_weird,public void test_weird() throws TextParseException
17973,Type3,Block,120,1619,1620,1447,1447,Still Active,1455,53,8,0,0,0,100,NameTest.java,NameTest.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,test_mixed,public void test_mixed() throws TextParseException,test_abs,public void test_abs() throws TextParseException
17974,Type3,Block,120,1619,1621,1447,1447,Still Active,Still Active,53,53,0,0,0,100,NameTest.java,NameTest.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,test_mixed,public void test_mixed() throws TextParseException,test_subdomain_rel,public void test_subdomain_rel() throws TextParseException
17975,Type3,Block,120,1619,1622,1447,1447,Still Active,Still Active,53,53,0,0,0,100,NameTest.java,NameTest.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,test_mixed,public void test_mixed() throws TextParseException,test_subdomain_equal,public void test_subdomain_equal() throws TextParseException
17976,Type3,Block,120,1619,1623,1447,1447,Still Active,Still Active,53,53,0,0,0,100,NameTest.java,NameTest.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,test_mixed,public void test_mixed() throws TextParseException,test_rel,public void test_rel() throws TextParseException
17977,Type3,Block,120,1619,1624,1447,1447,Still Active,1449,53,2,0,0,0,100,NameTest.java,NameTest.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,test_mixed,public void test_mixed() throws TextParseException,test_weird,public void test_weird() throws TextParseException
17978,Type3,Block,120,1620,1621,1447,1447,1455,Still Active,8,53,0,0,0,100,NameTest.java,NameTest.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,test_abs,public void test_abs() throws TextParseException,test_subdomain_rel,public void test_subdomain_rel() throws TextParseException
17979,Type3,Block,120,1620,1622,1447,1447,1455,Still Active,8,53,0,0,0,100,NameTest.java,NameTest.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,test_abs,public void test_abs() throws TextParseException,test_subdomain_equal,public void test_subdomain_equal() throws TextParseException
17980,Type3,Block,120,1620,1623,1447,1447,1455,Still Active,8,53,0,0,0,100,NameTest.java,NameTest.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,test_abs,public void test_abs() throws TextParseException,test_rel,public void test_rel() throws TextParseException
17981,Type3,Block,120,1620,1624,1447,1447,1455,1449,8,2,0,0,0,100,NameTest.java,NameTest.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,test_abs,public void test_abs() throws TextParseException,test_weird,public void test_weird() throws TextParseException
17982,Type3,Block,120,1621,1622,1447,1447,Still Active,Still Active,53,53,0,0,0,100,NameTest.java,NameTest.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,test_subdomain_rel,public void test_subdomain_rel() throws TextParseException,test_subdomain_equal,public void test_subdomain_equal() throws TextParseException
17983,Type3,Block,120,1621,1623,1447,1447,Still Active,Still Active,53,53,0,0,0,100,NameTest.java,NameTest.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,test_subdomain_rel,public void test_subdomain_rel() throws TextParseException,test_rel,public void test_rel() throws TextParseException
17984,Type3,Block,120,1621,1624,1447,1447,Still Active,1449,53,2,0,0,0,100,NameTest.java,NameTest.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,test_subdomain_rel,public void test_subdomain_rel() throws TextParseException,test_weird,public void test_weird() throws TextParseException
17985,Type3,Block,120,1622,1623,1447,1447,Still Active,Still Active,53,53,0,0,0,100,NameTest.java,NameTest.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,test_subdomain_equal,public void test_subdomain_equal() throws TextParseException,test_rel,public void test_rel() throws TextParseException
17986,Type3,Block,120,1622,1624,1447,1447,Still Active,1449,53,2,0,0,0,100,NameTest.java,NameTest.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,test_subdomain_equal,public void test_subdomain_equal() throws TextParseException,test_weird,public void test_weird() throws TextParseException
17987,Type3,Block,120,1623,1624,1447,1447,Still Active,1449,53,2,0,0,0,100,NameTest.java,NameTest.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,test_rel,public void test_rel() throws TextParseException,test_weird,public void test_weird() throws TextParseException
17988,Type3,Block,121,766,767,109,109,159,159,50,50,1,0,0,100,Zone.java,Zone.java,4,bwelling,bwelling,1.0000,-1.0000,50,-1,getSOA,getSOA(),getSOA,getSOA()
17989,Type3,Block,121,766,1020,109,299,159,311,50,12,0,0,0,100,Zone.java,SetResponse.java,1,bwelling,bwelling,0.0000,0.0000,-1,50,getSOA,getSOA(),addRRset,addRRset(RRset rrset)
