globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd
586 | Revision_700/flex.c | 944 | 955 | 8 | 724 | parseLoop | static void parseLoop (tokenInfo *const token) | 870 | 957
462 | Revision_700/sql.c | 1331 | 1339 | 8 | 601 | parseStatements | static void parseStatements (tokenInfo *const token) | 1167 | 1351
85 | Revision_700/fortran.c | 1194 | 1198 | 8 | 364 | parseTypeSpec | static void parseTypeSpec (tokenInfo *const token) | 1146 | 1213
423 | Revision_700/sql.c | 965 | 985 | 8 | 593 | parseRecord | static void parseRecord (tokenInfo *const token) | 920 | 987
392 | Revision_700/ruby.c | 214 | 218 | 8 | NULL | NULL | NULL | NULL | NULL
417 | Revision_700/jscript.c | 1084 | 1090 | 8 | 846 | parseStatement | static boolean parseStatement (tokenInfo *const token, boolean is_inside_class) | 1026 | 1457
582 | Revision_700/flex.c | 2114 | 2120 | 8 | 839 | parseActionScript | static boolean parseActionScript (tokenInfo *const token) | 2096 | 2170
583 | Revision_700/flex.c | 2142 | 2149 | 8 | 839 | parseActionScript | static boolean parseActionScript (tokenInfo *const token) | 2096 | 2170
584 | Revision_700/flex.c | 2016 | 2024 | 8 | 845 | parseMXML | static boolean parseMXML (tokenInfo *const token) | 1986 | 2094
426 | Revision_700/jscript.c | 696 | 707 | 8 | 727 | parseLoop | static void parseLoop (tokenInfo *const token) | 622 | 709
492 | Revision_700/sql.c | 1431 | 1437 | 8 | 592 | parsePackage | static void parsePackage (tokenInfo *const token) | 1408 | 1447
563 | Revision_700/vhdl.c | 707 | 715 | 8 | 815 | parseSubProgram | static void parseSubProgram (tokenInfo * const token) | 689 | 764
585 | Revision_700/flex.c | 1967 | 1973 | 8 | 840 | parseCDATA | static boolean parseCDATA (tokenInfo *const token) | 1940 | 1984
493 | Revision_700/sql.c | 878 | 885 | 8 | 597 | parseSubProgram | static void parseSubProgram (tokenInfo *const token) | 782 | 918
90 | Revision_700/readtags.c | 452 | 456 | 8 | 642 | initialize | static tagFile *initialize (const char *const filePath, tagFileInfo *const info) | 440 | 468
89 | Revision_700/options.c | 1042 | 1046 | 8 | 390 | processLanguageMap | static char* processLanguageMap (char* map) | 1020 | 1066
91 | Revision_700/keyword.c | 185 | 189 | 8 | 184 | freeKeywordTable | extern void freeKeywordTable (void) | 174 | 193
585 | Revision_700/flex.c | 2112 | 2121 | 8 | 839 | parseActionScript | static boolean parseActionScript (tokenInfo *const token) | 2096 | 2170
427 | Revision_700/jscript.c | 839 | 846 | 8 | 741 | parseFunction | static void parseFunction (tokenInfo *const token) | 821 | 864
493 | Revision_700/sql.c | 768 | 780 | 8 | 851 | skipArgumentList | static void skipArgumentList (tokenInfo *const token) | 767 | 780
588 | Revision_700/flex.c | 2133 | 2139 | 8 | 839 | parseActionScript | static boolean parseActionScript (tokenInfo *const token) | 2096 | 2170
462 | Revision_700/sql.c | 1500 | 1508 | 8 | 598 | parseTable | static void parseTable (tokenInfo *const token) | 1449 | 1543
423 | Revision_700/sql.c | 845 | 859 | 8 | 597 | parseSubProgram | static void parseSubProgram (tokenInfo *const token) | 782 | 918
101 | Revision_700/eiffel.c | 1057 | 1066 | 8 | 354 | parseRename | static void parseRename (tokenInfo *const token) | 1049 | 1072
587 | Revision_700/flex.c | 2186 | 2193 | 8 | 842 | parseFlexFile | static void parseFlexFile (tokenInfo *const token) | 2172 | 2200
500 | Revision_700/vim.c | 400 | 408 | 8 | 740 | parseCommand | static boolean parseCommand (const unsigned char *line) | 316 | 424
545 | Revision_700/vhdl.c | 705 | 716 | 8 | 815 | parseSubProgram | static void parseSubProgram (tokenInfo * const token) | 689 | 764
430 | Revision_700/sql.c | 1615 | 1622 | 8 | 592 | parseEvent | static void parseEvent (tokenInfo *const token) | 1584 | 1624
413 | Revision_700/jscript.c | 1324 | 1339 | 8 | 846 | parseStatement | static boolean parseStatement (tokenInfo *const token, boolean is_inside_class) | 1026 | 1457
590 | Revision_700/flex.c | 1755 | 1770 | 8 | NULL | NULL | NULL | NULL | NULL
542 | Revision_700/vhdl.c | 635 | 640 | 8 | 813 | parseRecord | static void parseRecord (tokenInfo * const token) | 629 | 644
591 | Revision_700/ruby.c | 195 | 200 | 8 | NULL | NULL | NULL | NULL | NULL
462 | Revision_700/sql.c | 1511 | 1521 | 8 | 598 | parseTable | static void parseTable (tokenInfo *const token) | 1449 | 1543
156 | Revision_700/eiffel.c | 1054 | 1067 | 8 | 354 | parseRename | static void parseRename (tokenInfo *const token) | 1049 | 1072
589 | Revision_700/flex.c | 2103 | 2122 | 8 | 839 | parseActionScript | static boolean parseActionScript (tokenInfo *const token) | 2096 | 2170
587 | Revision_700/flex.c | 2183 | 2194 | 8 | 842 | parseFlexFile | static void parseFlexFile (tokenInfo *const token) | 2172 | 2200
308 | Revision_700/sql.c | 876 | 888 | 8 | 597 | parseSubProgram | static void parseSubProgram (tokenInfo *const token) | 782 | 918
122 | Revision_700/get.c | 594 | 598 | 8 | 102 | cppGetc | extern int cppGetc (void) | 534 | 667
12 | Revision_700/c.c | 2069 | 2075 | 8 | 45 | analyzePostParens | static void analyzePostParens (statementInfo *const st, parenInfo *const info) | 2032 | 2475
431 | Revision_700/sql.c | 1998 | 2026 | 8 | 715 | parseComment | static void parseComment (tokenInfo *const token) | 1997 | 2026
59 | Revision_700/fortran.c | 1401 | 1409 | 8 | 314 | parseCommonNamelistStmt | static void parseCommonNamelistStmt (tokenInfo *const token, tagType type) | 1392 | 1419
546 | Revision_700/vhdl.c | 656 | 668 | 8 | 816 | parseTypes | static void parseTypes (tokenInfo * const token) | 646 | 670
65 | Revision_700/fortran.c | 1473 | 1482 | 8 | 633 | parseUnionStmt | static void parseUnionStmt (tokenInfo *const token) | 1472 | 1482
28 | Revision_700/c.c | 2197 | 2204 | 8 | 45 | analyzePostParens | static void analyzePostParens (statementInfo *const st, parenInfo *const info) | 2032 | 2475
314 | Revision_700/fortran.c | 1434 | 1442 | 8 | 345 | parseMap | static void parseMap (tokenInfo *const token) | 1433 | 1442
593 | Revision_700/flex.c | 895 | 921 | 8 | 724 | parseLoop | static void parseLoop (tokenInfo *const token) | 870 | 957
423 | Revision_700/sql.c | 843 | 860 | 8 | 597 | parseSubProgram | static void parseSubProgram (tokenInfo *const token) | 782 | 918
595 | Revision_700/flex.c | 1952 | 1977 | 8 | 840 | parseCDATA | static boolean parseCDATA (tokenInfo *const token) | 1940 | 1984
429 | Revision_700/jscript.c | 585 | 620 | 8 | 848 | parseSwitch | static void parseSwitch (tokenInfo *const token) | 584 | 620
593 | Revision_700/flex.c | 837 | 868 | 8 | 729 | parseSwitch | static void parseSwitch (tokenInfo *const token) | 836 | 868
592 | Revision_700/flex.c | 2124 | 2140 | 8 | 839 | parseActionScript | static boolean parseActionScript (tokenInfo *const token) | 2096 | 2170
428 | Revision_700/jscript.c | 567 | 581 | 8 | 705 | findCmdTerm | static void findCmdTerm (tokenInfo *const token) | 559 | 582
598 | Revision_700/flex.c | 819 | 833 | 8 | 704 | findCmdTerm | static void findCmdTerm (tokenInfo *const token) | 811 | 834
582 | Revision_700/flex.c | 1961 | 1975 | 8 | 840 | parseCDATA | static boolean parseCDATA (tokenInfo *const token) | 1940 | 1984
529 | Revision_700/readtags.c | 363 | 367 | 8 | 526 | duplicate | static char *duplicate (const char *str) | 359 | 369
121 | Revision_700/c.c | 1992 | 1996 | 8 | NULL | NULL | NULL | NULL | NULL
221 | Revision_700/fortran.c | 1696 | 1705 | 8 | 339 | parseInterfaceBlock | static void parseInterfaceBlock (tokenInfo *const token) | 1684 | 1735
432 | Revision_700/jscript.c | 647 | 673 | 8 | 727 | parseLoop | static void parseLoop (tokenInfo *const token) | 622 | 709
427 | Revision_700/jscript.c | 837 | 847 | 8 | 741 | parseFunction | static void parseFunction (tokenInfo *const token) | 821 | 864
437 | Revision_700/sql.c | 1142 | 1165 | 8 | 593 | parseLabel | static void parseLabel (tokenInfo *const token) | 1141 | 1165
542 | Revision_700/vhdl.c | 617 | 625 | 8 | 811 | parseModule | static void parseModule (tokenInfo * const token) | 602 | 627
435 | Revision_700/sql.c | 1109 | 1126 | 8 | 593 | parseDeclareANSI | static void parseDeclareANSI (tokenInfo *const token, const boolean local) | 1087 | 1139
539 | Revision_700/vhdl.c | 728 | 741 | 8 | 815 | parseSubProgram | static void parseSubProgram (tokenInfo * const token) | 689 | 764
560 | Revision_700/vhdl.c | 747 | 760 | 8 | 815 | parseSubProgram | static void parseSubProgram (tokenInfo * const token) | 689 | 764
438 | Revision_700/jscript.c | 986 | 1005 | 8 | 727 | parseMethods | static void parseMethods (tokenInfo *const token, tokenInfo *const class) | 962 | 1024
596 | Revision_700/flex.c | 1262 | 1281 | 8 | 725 | parseMethods | static void parseMethods (tokenInfo *const token, tokenInfo *const class) | 1238 | 1300
582 | Revision_700/flex.c | 1964 | 1974 | 8 | 840 | parseCDATA | static boolean parseCDATA (tokenInfo *const token) | 1940 | 1984
597 | Revision_700/jscript.c | 675 | 708 | 8 | 727 | parseLoop | static void parseLoop (tokenInfo *const token) | 622 | 709
156 | Revision_700/eiffel.c | 1051 | 1068 | 8 | 354 | parseRename | static void parseRename (tokenInfo *const token) | 1049 | 1072
