revision,gcid,filePath,changeType,nlines,totalChanges,totalUnchanged,stabilityIndex,changeProneness,lifespan,author,activePairs,meanWCS,maxWCS,minWCS,stronglyCoupledPairs,decoupledPairs
267,71,fortran.c,M,38,2,255,0.9586,0.0075,265,darren,0,0.0000,0.0000,0.0000,0,0
267,73,fortran.c,M,17,2,255,0.9586,0.0075,265,darren,2,0.7129,1.0000,0.4257,1,0
267,207,fortran.c,M,6,1,52,0.9811,0.0189,52,darren,1,0.0000,0.0000,0.0000,0,1
267,210,fortran.c,M,8,2,51,0.9623,0.0377,52,darren,1,0.0000,0.0000,0.0000,0,1
267,241,fortran.c,M,17,1,0,0.0000,1.0000,0,darren,2,0.5000,1.0000,0.0000,1,1
273,30,options.c,M,8,2,261,0.9596,0.0074,271,darren,22,0.0455,1.0000,0.0000,1,21
273,86,options.c,M,5,3,260,0.9559,0.0110,271,darren,5,0.4050,1.0000,0.0000,2,3
273,107,options.c,M,6,1,262,0.9632,0.0037,271,darren,1,1.0000,1.0000,1.0000,1,0
273,108,options.c,M,6,1,262,0.9632,0.0037,271,darren,1,1.0000,1.0000,1.0000,1,0
273,112,options.c,M,7,2,261,0.9596,0.0074,271,darren,3,0.9296,0.9296,0.9296,3,0
273,113,options.c,M,7,1,262,0.9632,0.0037,271,darren,3,0.9765,1.0000,0.9296,3,0
273,114,options.c,M,7,1,262,0.9632,0.0037,271,darren,3,0.9765,1.0000,0.9296,3,0
273,115,options.c,M,7,1,262,0.9632,0.0037,271,darren,3,0.9765,1.0000,0.9296,3,0
273,116,options.c,M,5,2,261,0.9596,0.0074,271,darren,5,0.3867,0.9669,0.0000,2,3
273,117,options.c,M,5,3,260,0.9559,0.0110,271,darren,5,0.4050,1.0000,0.0000,2,3
273,118,options.c,M,5,3,260,0.9559,0.0110,271,darren,1,1.0000,1.0000,1.0000,1,0
273,119,options.c,M,5,3,260,0.9559,0.0110,271,darren,1,1.0000,1.0000,1.0000,1,0
273,120,options.c,M,5,3,260,0.9559,0.0110,271,darren,0,0.0000,0.0000,0.0000,0,0
273,123,options.c,M,12,4,259,0.9522,0.0147,271,darren,1,1.0000,1.0000,1.0000,1,0
273,124,options.c,M,15,2,261,0.9596,0.0074,271,darren,1,1.0000,1.0000,1.0000,1,0
273,125,options.c,M,15,2,261,0.9596,0.0074,271,darren,1,1.0000,1.0000,1.0000,1,0
273,181,options.c,M,5,3,110,0.9735,0.0265,112,darren,3,0.0000,0.0000,0.0000,0,3
273,223,options.c,M,6,2,25,0.9259,0.0741,26,darren,0,0.0000,0.0000,0.0000,0,0
273,242,options.c,M,8,1,0,0.0000,1.0000,0,darren,22,0.0455,1.0000,0.0000,1,21
273,244,options.c,M,5,1,0,0.0000,1.0000,0,darren,1,0.0000,0.0000,0.0000,0,1
273,245,options.c,M,12,1,0,0.0000,1.0000,0,darren,1,1.0000,1.0000,1.0000,1,0
273,247,parse.c,M,5,1,0,0.0000,1.0000,0,darren,2,0.5000,1.0000,0.0000,1,1
273,248,parse.c,M,5,1,0,0.0000,1.0000,0,darren,2,0.5000,1.0000,0.0000,1,1
273,249,parse.c,M,9,1,0,0.0000,1.0000,0,darren,0,0.0000,0.0000,0.0000,0,0
274,12,fortran.c,M,32,1,261,0.9560,0.0037,272,darren,1,0.0000,0.0000,0.0000,0,1
274,71,fortran.c,M,38,3,261,0.9560,0.0110,272,darren,1,0.0000,0.0000,0.0000,0,1
276,19,perl.c,M,7,1,265,0.9636,0.0036,274,darren,5,0.0000,0.0000,0.0000,0,5
282,12,fortran.c,M,32,2,268,0.9537,0.0071,280,darren,1,0.5597,0.5597,0.5597,1,0
282,53,fortran.c,M,7,2,270,0.9609,0.0071,280,darren,1,1.0000,1.0000,1.0000,1,0
282,54,fortran.c,M,5,3,269,0.9573,0.0107,280,darren,6,0.3288,0.9731,0.0000,2,3
282,55,fortran.c,M,5,3,269,0.9573,0.0107,280,darren,6,0.3244,0.9731,0.0000,2,3
282,57,fortran.c,M,5,2,270,0.9609,0.0071,280,darren,6,0.2315,0.7040,0.0000,2,4
282,64,fortran.c,M,18,1,271,0.9644,0.0036,280,darren,1,0.0000,0.0000,0.0000,0,1
282,70,fortran.c,M,32,1,271,0.9644,0.0036,280,darren,1,0.5597,0.5597,0.5597,1,0
282,71,fortran.c,M,38,4,268,0.9537,0.0142,280,darren,1,0.0000,0.0000,0.0000,0,1
