Revision,gcid,classid,n_prior_changes,n_prior_co_changes,n_prior_independent,co_change_ratio,revs_since_last_change,revs_since_last_co_change,revs_since_last_independent,recent_co_ratio_last5,solo_events_since_last_co,nlines,similarity,file_age,change_proneness,stability_index,change_magnitude,avg_prior_change_magnitude,class_size,alive_peer_count,class_co_change_density,frac_peers_same_file,frac_peers_same_method,mean_peer_co_ratio,max_peer_co_ratio,min_peer_co_ratio,mean_peer_depth,ir_decay_h10,cs_decay_h10,ir_decay_h20,cs_decay_h20,ir_decay_h50,cs_decay_h50,coupling_trend,churn,distinct_authors,major_author_prop,label
755,537,22,1,0,1,0.0,55,-1,55,0.0,1,5,75,62,0.0161,0.4919,1.0,1.0,63,44,0.6818,0.2045,0.0227,0.0,0.0,0.0,0.8,1.0,0.0,1.0,0.0,1.0,0.0,0.0,97,1,1.0,0
756,311,30,2,2,0,1.0,53,53,-1,1.0,0,5,71,295,0.0068,0.8202,0.75,0.5625,96,78,0.8974,0.2564,0.0128,0.2308,1.0,0.0,0.74,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1506,1,1.0,1
756,337,33,2,2,0,1.0,11,11,-1,1.0,0,10,70,295,0.0068,0.8792,1.2083,1.0416,113,102,0.7941,0.2059,0.0,0.1765,1.0,0.0,0.79,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1528,1,1.0,0
756,345,36,9,5,2,0.5556,11,19,11,0.4,2,5,71,295,0.0305,1.0084,0.6364,0.5671,71,55,0.8182,0.1273,0.0,0.0384,0.6667,0.0,0.87,0.6693,0.3307,0.6002,0.3998,0.5019,0.4981,-0.6,1946,1,1.0,0
756,346,36,5,5,0,1.0,19,19,-1,1.0,0,5,71,295,0.0169,0.8118,0.1429,0.3143,71,55,0.8182,0.1273,0.0,0.0655,1.0,0.0,0.87,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1704,1,1.0,0
756,358,34,5,4,0,0.8,19,19,-1,1.0,0,10,70,288,0.0174,0.6504,1.0,0.5992,113,98,0.7653,0.2143,0.0,0.0878,0.8,0.0,0.79,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1713,1,1.0,0
756,397,40,14,10,1,0.7143,11,11,93,1.0,0,5,71,126,0.1111,1.2567,1.0,1.1169,106,98,0.9184,0.3163,0.0102,0.0284,0.5,0.0,0.68,0.0013,0.9987,0.019,0.981,0.0753,0.9247,0.2857,640,1,1.0,0
760,311,30,3,2,1,0.6667,4,57,4,0.6667,1,5,71,299,0.01,0.8399,0.75,0.625,96,78,0.8974,0.2564,0.0128,0.1538,0.6667,0.0,0.74,0.9752,0.0248,0.8625,0.1375,0.6667,0.3333,0.0,1542,1,1.0,1
760,345,36,10,6,2,0.6,4,4,15,0.4,0,5,71,299,0.0334,1.0281,0.6364,0.5741,71,55,0.8182,0.1273,0.0,0.0364,0.7,0.0,0.87,0.4198,0.5802,0.4521,0.5479,0.4169,0.5831,-0.6,1982,1,1.0,1
760,358,34,8,5,0,0.625,4,4,-1,1.0,0,10,70,292,0.0274,0.6762,0.3846,0.7495,113,98,0.7653,0.2143,0.0,0.0702,0.875,0.0,0.79,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1821,1,1.0,0
