pairId,cloneType,granularity,classId,clone1_gcid,clone2_gcid,clone1_addedRev,clone2_addedRev,clone1_deletedRev,clone2_deletedRev,clone1_lifespan,clone2_lifespan,co_change,gcid1_independent_change,gcid2_independent_change,similarity,filepath1,filepath2,file_distance,gcid1_authors,gcid2_authors
83,Type3,Block,2,4,26,2,2,Still Active,Still Active,814,814,1,1,0,70,asp.c,rexx.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
84,Type3,Block,2,4,27,2,2,Still Active,Still Active,814,814,1,1,0,70,asp.c,keyword.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
85,Type3,Block,2,4,28,2,2,Still Active,Still Active,814,814,1,1,11,70,asp.c,c.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elliotth; elias; dfishburn; jafl; perlguy0; dhiebert; vberthoux
86,Type3,Block,2,4,29,2,2,Still Active,Still Active,814,814,1,1,2,70,asp.c,options.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
87,Type3,Block,2,4,30,2,2,Still Active,Still Active,814,814,1,1,2,70,asp.c,options.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
88,Type3,Block,2,4,31,2,2,Still Active,Still Active,814,814,1,1,11,70,asp.c,c.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elliotth; elias; dfishburn; jafl; perlguy0; dhiebert; vberthoux
89,Type3,Block,2,4,32,2,2,Still Active,312,814,310,0,0,3,70,asp.c,options.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren
90,Type3,Block,2,4,243,2,43,Still Active,Still Active,814,773,1,1,0,70,asp.c,lua.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
91,Type3,Block,2,4,270,2,119,Still Active,147,814,28,0,0,1,70,asp.c,asm.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren
92,Type3,Block,2,4,274,2,147,Still Active,Still Active,814,669,1,1,1,70,asp.c,asm.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
93,Type3,Block,2,4,283,2,173,Still Active,Still Active,814,643,1,1,1,70,asp.c,verilog.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elliotth; elias; dfishburn; jafl; perlguy0; dhiebert; vberthoux
94,Type3,Block,2,4,296,2,215,Still Active,Still Active,814,601,1,1,7,70,asp.c,sql.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; dfishburn; elliotth; elias; jafl; perlguy0; dhiebert; vberthoux
95,Type3,Block,2,4,315,2,218,Still Active,Still Active,814,598,1,1,3,70,asp.c,c.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elliotth; elias; dfishburn; jafl; perlguy0; dhiebert; vberthoux
