revision_number,method_name,method_signature,package_name,class_name,src,start_line,end_line,methodId,globalMethodId
311 | findName | findName(Name name) | DNS | NameSet | org/xbill/DNS/NameSet.java | 81 | 83 | 222543 | 202
311 | findProperty | findProperty() | DNS | FindServer | org/xbill/DNS/FindServer.java | 31 | 62 | 222544 | 226
311 | findRecord | findRecord(Record r) | DNS | Message | org/xbill/DNS/Message.java | 144 | 148 | 222545 | 270
311 | findRecord | findRecord(Record r, int section) | DNS | Message | org/xbill/DNS/Message.java | 134 | 136 | 222546 | 270
311 | findRecords | findRecords(Name name, short type, short dclass) | DNS | Cache | org/xbill/DNS/Cache.java | 251 | 253 | 222547 | 301
311 | findRecords | findRecords(Name name, short type, short dclass, byte minCred) | DNS | Cache | org/xbill/DNS/Cache.java | 233 | 239 | 222548 | 301
311 | findRecords | findRecords(Name name, short type) | DNS | Zone | org/xbill/DNS/Zone.java | 87 | 120 | 222549 | 301
311 | findSets | findSets(Name name, short type, short dclass) | DNS | NameSet | org/xbill/DNS/NameSet.java | 29 | 63 | 222550 | 305
311 | findTSIG | findTSIG(Name name) |  | jnamed | jnamed.java | 178 | 184 | 222551 | 291
311 | findUnix | findUnix() | DNS | FindServer | org/xbill/DNS/FindServer.java | 70 | 127 | 222552 | 227
311 | first | first() | DNS | RRset | org/xbill/DNS/RRset.java | 158 | 162 | 222553 | 224
311 | formatDate | formatDate(Date d) | DNS | SIGRecord | org/xbill/DNS/SIGRecord.java | 216 | 233 | 222554 | 38
311 | fromString | fromString(String str) | DNS.utils | base16 | org/xbill/DNS/utils/base16.java | 46 | 63 | 222555 | 115
311 | fromString | fromString(String str) | DNS.utils | base64 | org/xbill/DNS/utils/base64.java | 95 | 131 | 222556 | 115
311 | fromWire | fromWire(DataByteInputStream in, int section, Compression c) | DNS | Record | org/xbill/DNS/Record.java | 128 | 129 | 222557 | 124
311 | get | get(Name name) | DNS | Compression | org/xbill/DNS/Compression.java | 44 | 47 | 222558 | 39
311 | get | get(int pos) | DNS | Compression | org/xbill/DNS/Compression.java | 35 | 37 | 222559 | 39
311 | getAddress | getAddress() | DNS | ARecord | org/xbill/DNS/ARecord.java | 87 | 89 | 222560 | 125
311 | getAdmin | getAdmin() | DNS | SOARecord | org/xbill/DNS/SOARecord.java | 109 | 111 | 222561 | 230
311 | getAlg | getAlg() | DNS | TSIGRecord | org/xbill/DNS/TSIGRecord.java | 131 | 133 | 222562 | 126
311 | getAlgorithm | getAlgorithm() | DNS | CERTRecord | org/xbill/DNS/CERTRecord.java | 125 | 127 | 222563 | 127
