revision_number,method_name,method_signature,package_name,class_name,src,start_line,end_line,methodId,globalMethodId
261 | addTSIG | addTSIG(String name, String key) |  | jnamed | jnamed.java | 65 | 67 | 178701 | 294
261 | addUDP | addUDP(final short port) |  | jnamed | jnamed.java | 408 | 412 | 178702 | 210
261 | addZone | addZone(String zonefile) throws IOException |  | jnamed | jnamed.java | 58 | 62 | 178703 | 198
261 | answer | answer() | DNS | CacheResponse | DNS/CacheResponse.java | 51 | 55 | 178704 | 318
261 | answer | answer() | DNS | CacheResponse | org/xbill/DNS/CacheResponse.java | 51 | 55 | 178705 | 318
261 | append | append(Name d) | DNS | Name | DNS/Name.java | 172 | 175 | 178706 | 23
261 | append | append(Name d) | DNS | Name | org/xbill/DNS/Name.java | 172 | 175 | 178707 | 23
261 | apply | apply(Message m, TSIGRecord old) throws IOException | DNS | TSIG | DNS/TSIG.java | 26 | 68 | 178708 | 108
261 | apply | apply(Message m, TSIGRecord old) throws IOException | DNS | TSIG | org/xbill/DNS/TSIG.java | 26 | 68 | 178709 | 108
261 | base16 | base16() {} | DNS.utils | base16 | DNS/utils/base16.java | 19 | 20 | 178710 | 349
261 | base16 | base16() {} | DNS.utils | base16 | org/xbill/DNS/utils/base16.java | 19 | 20 | 178711 | 349
261 | base64 | base64() {} | DNS.utils | base64 | DNS/utils/base64.java | 19 | 20 | 178712 | 350
261 | base64 | base64() {} | DNS.utils | base64 | org/xbill/DNS/utils/base64.java | 19 | 20 | 178713 | 350
261 | clear | clear() | DNS | RRset | DNS/RRset.java | 32 | 35 | 178714 | 112
261 | clear | clear() | DNS.utils | hmacSigner | DNS/utils/hmacSigner.java | 119 | 126 | 178715 | 112
261 | clear | clear() | DNS | RRset | org/xbill/DNS/RRset.java | 32 | 35 | 178716 | 112
261 | clear | clear() | DNS.utils | hmacSigner | org/xbill/DNS/utils/hmacSigner.java | 119 | 126 | 178717 | 112
261 | clone | clone() | DNS | Header | DNS/Header.java | 189 | 200 | 178718 | 343
